datetime,humidity,pressure,temperature,weather_description,wind_speed
2012-10-01 12:00:00,,,,,
2012-10-01 13:00:00,22,1018,293.41,sky is clear,0
2012-10-01 14:00:00,21,1018,293.403141271,sky is clear,0
2012-10-01 15:00:00,21,1018,293.392177052,sky is clear,0
2012-10-01 16:00:00,21,1018,293.381212832,sky is clear,0
2012-10-01 17:00:00,21,1018,293.370248613,sky is clear,0
2012-10-01 18:00:00,21,1018,293.359284393,sky is clear,0
2012-10-01 19:00:00,21,1018,293.348320173,sky is clear,0
2012-10-01 20:00:00,20,1018,293.337355954,sky is clear,0
2012-10-01 21:00:00,20,1018,293.326391734,sky is clear,0
2012-10-01 22:00:00,20,1018,293.315427514,sky is clear,0
2012-10-01 23:00:00,20,1018,293.304463295,sky is clear,0
2012-10-02 00:00:00,20,1018,293.293499075,sky is clear,0
2012-10-02 01:00:00,20,1018,293.282534855,sky is clear,0
2012-10-02 02:00:00,19,1018,293.271570636,sky is clear,1
2012-10-02 03:00:00,19,1018,293.260606416,sky is clear,1
2012-10-02 04:00:00,19,1018,293.249642196,sky is clear,1
2012-10-02 05:00:00,19,1018,293.238677977,sky is clear,1
2012-10-02 06:00:00,19,1018,293.227713757,sky is clear,1
2012-10-02 07:00:00,19,1018,293.216749538,sky is clear,1
2012-10-02 08:00:00,18,1018,293.205785318,sky is clear,1
2012-10-02 09:00:00,18,1018,293.194821098,sky is clear,1
2012-10-02 10:00:00,18,1018,293.183856879,sky is clear,1
2012-10-02 11:00:00,18,1018,293.172892659,sky is clear,1
2012-10-02 12:00:00,18,1018,293.161928439,sky is clear,1
2012-10-02 13:00:00,18,1018,293.15096422,sky is clear,2
2012-10-02 14:00:00,18,1019,293.14,sky is clear,2
2012-10-02 15:00:00,16,1019,296.38,sky is clear,0
2012-10-02 16:00:00,23,1019,297.02,sky is clear,0
2012-10-02 17:00:00,18,1020,300.24,sky is clear,0
2012-10-02 18:00:00,9,1019,305.1,sky is clear,0
2012-10-02 19:00:00,9,1019,305.47,sky is clear,4
2012-10-02 20:00:00,9,1018,306.7,sky is clear,5
2012-10-02 21:00:00,8,1017,307.22,sky is clear,5
2012-10-02 22:00:00,8,1016,308.79,sky is clear,1
2012-10-02 23:00:00,8,1015,308.79,sky is clear,3
2012-10-03 00:00:00,8,1014,308.29,sky is clear,3
2012-10-03 01:00:00,8,1014,306.22,sky is clear,1
2012-10-03 02:00:00,9,1014,303.27,sky is clear,0
