datetime,humidity,pressure,temperature,weather_description,wind_speed,,,,
2012-10-01 13:00:00,88,1013,291.87,mist,0,,,,
2012-10-01 14:00:00,88,1013,291.868185522,sky is clear,0,,,,
2012-10-01 15:00:00,88,1013,291.862844459,sky is clear,0,,,,
2012-10-01 16:00:00,88,1013,291.857503395,sky is clear,0,,,,
2012-10-01 17:00:00,88,1013,291.852162332,sky is clear,0,,,,
2012-10-01 18:00:00,88,1013,291.846821268,sky is clear,0,,,,
2012-10-01 19:00:00,88,1013,291.841480205,sky is clear,0,,,,
2012-10-01 20:00:00,88,1013,291.836139142,sky is clear,0,,,,
2012-10-01 21:00:00,88,1013,291.830798078,sky is clear,0,,,,
2012-10-01 22:00:00,88,1013,291.825457015,sky is clear,0,,,,
2012-10-01 23:00:00,88,1013,291.820115951,sky is clear,0,,,,
2012-10-02 00:00:00,88,1013,291.814774888,sky is clear,0,,,,
2012-10-02 01:00:00,88,1013,291.809433824,sky is clear,0,,,,
2012-10-02 02:00:00,88,1013,291.804092761,sky is clear,0,,,,
2012-10-02 03:00:00,88,1013,291.798751698,sky is clear,0,,,,
2012-10-02 04:00:00,88,1013,291.793410634,sky is clear,0,,,,
2012-10-02 05:00:00,88,1013,291.788069571,sky is clear,0,,,,
2012-10-02 06:00:00,88,1013,291.782728507,sky is clear,0,,,,
2012-10-02 07:00:00,88,1013,291.777387444,sky is clear,0,,,,
2012-10-02 08:00:00,88,1013,291.772046381,sky is clear,0,,,,
2012-10-02 09:00:00,88,1013,291.766705317,sky is clear,0,,,,
2012-10-02 10:00:00,88,1013,291.761364254,sky is clear,0,,,,
2012-10-02 11:00:00,88,1013,291.75602319,sky is clear,0,,,,
2012-10-02 12:00:00,88,1013,291.750682127,sky is clear,0,,,,
2012-10-02 13:00:00,88,1013,291.745341063,sky is clear,0,,,,
2012-10-02 14:00:00,88,1013,291.74,mist,0,,,,
2012-10-02 15:00:00,88,1013,293.97,fog,0,,,,
2012-10-02 16:00:00,23,1014,295.59,sky is clear,0,,,,
2012-10-02 17:00:00,19,1014,297.93,sky is clear,1,,,,
2012-10-02 18:00:00,24,1013,303.83,sky is clear,0,,,,
2012-10-02 19:00:00,15,1013,305.03,sky is clear,1,,,,
2012-10-02 20:00:00,12,1012,306.12,sky is clear,1,,,,
2012-10-02 21:00:00,14,1012,307.66,sky is clear,2,,,,
2012-10-02 22:00:00,22,1011,307.71,sky is clear,3,,,,
2012-10-02 23:00:00,21,1009,306.87,sky is clear,1,,,,
2012-10-03 00:00:00,27,1009,305.7,sky is clear,2,,,,
2012-10-03 01:00:00,42,1009,303.69,sky is clear,2,,,,
2012-10-03 02:00:00,54,1009,302.02,sky is clear,1,,,,
2012-10-03 03:00:00,57,1009,300.42,sky is clear,0,,,,
2012-10-03 04:00:00,60,1009,299.64,sky is clear,0,,,,
2012-10-03 05:00:00,53,1010,299.62,sky is clear,0,,,,
2012-10-03 06:00:00,60,1010,296.38,sky is clear,0,,,,
2012-10-03 07:00:00,60,1010,295.2,sky is clear,0,,,,
2012-10-03 08:00:00,24,1011,295.2,sky is clear,0,,,,
2012-10-03 09:00:00,53,1010,294.66,sky is clear,0,,,,
2012-10-03 10:00:00,56,1010,294.22,sky is clear,0,,,,
2012-10-03 11:00:00,26,1011,293.86,sky is clear,0,,,,
2012-10-03 12:00:00,45,1010,293.235,sky is clear,0,,,,
2012-10-03 13:00:00,64,1010,292.61,sky is clear,0,,,,
2012-10-03 14:00:00,64,1010,292.44,fog,0,,,,
2012-10-03 15:00:00,56,1010,295.15,sky is clear,0,,,,
2012-10-03 16:00:00,49,1010,297.86,sky is clear,0,,,,
2012-10-03 17:00:00,42,1011,300.57,sky is clear,0,,,,
2012-10-03 18:00:00,24,1011,303.11,sky is clear,0,,,,
2012-10-03 19:00:00,21,1011,304.07,sky is clear,0,,,,
2012-10-03 20:00:00,38,1010,304.01,sky is clear,0,,,,
2012-10-03 21:00:00,33,1009,304.76,sky is clear,4,,,,
2012-10-03 22:00:00,34,1009,304.18,sky is clear,3,,,,
2012-10-03 23:00:00,35,1009,303.6,sky is clear,1,,,,
2012-10-04 00:00:00,35,1009,302.31,sky is clear,1,,,,
2012-10-04 01:00:00,39,1009,300.72,sky is clear,1,,,,
2012-10-04 02:00:00,47,1009,299.11,sky is clear,0,,,,
2012-10-04 03:00:00,60,1009,297.84,sky is clear,0,,,,
2012-10-04 04:00:00,69,1010,296.17,sky is clear,0,,,,
2012-10-04 05:00:00,69,1011,294.99,sky is clear,0,,,,
2012-10-04 06:00:00,73,1011,294.18,sky is clear,0,,,,
2012-10-04 07:00:00,57,1012,293.97,sky is clear,1,,,,
2012-10-04 08:00:00,77,1012,293.13,sky is clear,0,,,,
2012-10-04 09:00:00,66,1012,292.96,sky is clear,0,,,,
2012-10-04 10:00:00,82,1012,292.28,fog,0,,,,
2012-10-04 11:00:00,82,1012,291.78,mist,0,,,,
2012-10-04 12:00:00,82,1012,291.46,fog,0,,,,
2012-10-04 13:00:00,82,1013,291.35,mist,0,,,,
2012-10-04 14:00:00,82,1014,291.32,mist,0,,,,
2012-10-04 15:00:00,93,1014,292.95,fog,0,,,,
2012-10-04 16:00:00,88,1015,294.17,haze,0,,,,
2012-10-04 17:00:00,73,1015,296.46,mist,0,,,,
2012-10-04 18:00:00,61,1015,298.03,mist,2,,,,
2012-10-04 19:00:00,54,1015,299.04,haze,0,,,,
2012-10-04 20:00:00,54,1014,299.86,haze,0,,,,
2012-10-04 21:00:00,57,1014,300.01,haze,0,,,,
2012-10-04 22:00:00,57,1014,300.41,haze,0,,,,
2012-10-04 23:00:00,60,1014,299.45,haze,1,,,,
2012-10-05 00:00:00,50,1014,298.36,haze,0,,,,
2012-10-05 01:00:00,60,1014,297.33,sky is clear,1,,,,
2012-10-05 02:00:00,77,1015,295.26,sky is clear,1,,,,
2012-10-05 03:00:00,88,1015,294.26,few clouds,1,,,,
2012-10-05 04:00:00,88,1016,293.47,few clouds,0,,,,
2012-10-05 05:00:00,82,1016,292.57,overcast clouds,1,,,,
2012-10-05 06:00:00,82,1017,291.04,scattered clouds,1,,,,
2012-10-05 07:00:00,81,,290.005,scattered clouds,3,,,,
2012-10-05 08:00:00,81,,288.97,sky is clear,5,,,,
2012-10-05 09:00:00,81,,289.275,broken clouds,2,,,,
2012-10-05 10:00:00,82,1017,289.58,broken clouds,0,,,,
2012-10-05 11:00:00,88,1017,289.67,overcast clouds,0,,,,
2012-10-05 12:00:00,77,1017,289.82,mist,0,,,,
2012-10-05 13:00:00,77,1018,290.25,mist,0,,,,
2012-10-05 14:00:00,72,1018,290.41,mist,0,,,,
2012-10-05 15:00:00,72,1019,290.65,haze,0,,,,
2012-10-05 16:00:00,64,1019,291.79,haze,0,,,,
2012-10-05 17:00:00,64,1020,292.51,haze,0,,,,
2012-10-05 18:00:00,63,1019,294.04,sky is clear,0,,,,
2012-10-05 19:00:00,55,1019,294.87,sky is clear,0,,,,
2012-10-05 20:00:00,49,1018,295.73,sky is clear,0,,,,
2012-10-05 21:00:00,41,1017,296.69,sky is clear,1,,,,
2012-10-05 22:00:00,52,1017,297.41,sky is clear,2,,,,
2012-10-05 23:00:00,60,1018,296.8,sky is clear,4,,,,
2012-10-06 00:00:00,60,1017,295.93,sky is clear,1,,,,
2012-10-06 01:00:00,64,1017,294.82,sky is clear,1,,,,
2012-10-06 02:00:00,76,1017,293.71,sky is clear,1,,,,
2012-10-06 03:00:00,82,1018,292.25,sky is clear,0,,,,
2012-10-06 04:00:00,82,1018,291.86,sky is clear,0,,,,
2012-10-06 05:00:00,82,1018,291.2,sky is clear,0,,,,
2012-10-06 06:00:00,82,1018,290.2,sky is clear,0,,,,
2012-10-06 07:00:00,90,1018,290.1,sky is clear,0,,,,
2012-10-06 08:00:00,89,1018,289.57,few clouds,0,,,,
2012-10-06 09:00:00,88,1018,289.04,scattered clouds,0,,,,
2012-10-06 10:00:00,88,1018,288.99,few clouds,0,,,,
2012-10-06 11:00:00,88,1017,288.99,broken clouds,0,,,,
2012-10-06 12:00:00,94,1017,288.99,sky is clear,0,,,,
2012-10-06 13:00:00,77,1017,289.17,overcast clouds,1,,,,
